Timestamp,What is your current academic level?,Gender Identity,What is your primary field of study?,How frequently do you use AI tools for academic purposes?,Which of the following AI tools have you used for academic tasks in the past 30 days? (Select all that apply),For which of the following academic tasks do you use AI tools? (Select all that apply),To what extent do you agree with the following statement: 'AI tools help me complete academic tasks more efficiently.',How much do you rely on AI tools to generate initial drafts or ideas for your academic assignments? ,How frequently do you cross-reference information provided by AI tools with other sources?,Do you believe the use of AI tools has improved your academic performance? 
2025/10/22 11:50:27 pm GMT,Undergraduate (3rd Year),Male,"STEM (Science, Technology, Engineering, Math)",Very Often (Daily),"Code generation/completion tools (e.g. GitHub Copilot);Note-taking/summarization tools (e.g. Otter.ai, NotebookLM)",Brainstorming ideas;Proofreading and grammar checking;Generating code snippets,5,Significantly,Sometimes,"Yes, significantly"
2025/10/23 4:32:09 pm GMT,3st Year Undergraduate,Female,"Social Sciences (e.g., Psychology, Economics, Politics, Sociology)",Sometimes (A few times a month),"Generative AI for text (e.g. ChatGPT, Bard)",Brainstorming ideas;Outlining essays/reports;Summarizing texts;Proofreading and grammar checking;Data analysis,4,Moderately,Rarely,"Yes, somewhat"
2025/10/23 5:48:32 pm GMT,3st Year Undergraduate,Male,"STEM (Science, Technology, Engineering, Math)",Often (Once a week or more),Code generation/completion tools (e.g. GitHub Copilot),Brainstorming ideas;Summarizing texts;Proofreading and grammar checking;Generating code snippets;Translating languages;Finding sources/research assistance,5,Moderately,Rarely,"Yes, somewhat"
2025/10/23 6:13:25 pm GMT,1st Year Undergraduate,Female,"Social Sciences (e.g., Psychology, Economics, Politics, Sociology)",Sometimes (A few times a month),"Generative AI for text (e.g. ChatGPT, Bard);Note-taking/summarization tools (e.g. Otter.ai, NotebookLM)",Outlining essays/reports;Summarizing texts,4,Slightly,Sometimes,"Yes, somewhat"
2025/10/30 6:15:25 pm GMT,3st Year Undergraduate,Male,"STEM (Science, Technology, Engineering, Math)",Often (Once a week or more),Other,Other,2,Slightly,Often,"Yes, somewhat"
2025/10/30 6:15:31 pm GMT,Postgraduate (Master's),Male,"STEM (Science, Technology, Engineering, Math)",Often (Once a week or more),Other,Other,4,Not at all,Rarely,"Yes, somewhat"
2025/10/30 6:15:40 pm GMT,3st Year Undergraduate,Female,"STEM (Science, Technology, Engineering, Math)",Very Often (Daily),"Generative AI for text (e.g. ChatGPT, Bard);Grammar/Writing assistance tools (e.g. Grammarly Premium, QuillBot);Translation tools (e.g., DeepL, Google Translate);Data analysis/visualization tools (e.g., Tableau AI features, Python libraries)",Brainstorming ideas;Outlining essays/reports;Proofreading and grammar checking;Finding sources/research assistance,5,Significantly,Sometimes,"Yes, somewhat"
2025/10/30 6:16:58 pm GMT,Postgraduate (Master's),Female,"STEM (Science, Technology, Engineering, Math)",Often (Once a week or more),"Generative AI for text (e.g. ChatGPT, Bard)",Brainstorming ideas;Summarizing texts;Finding sources/research assistance,2,Slightly,Rarely,"Yes, somewhat"
2025/10/30 6:17:57 pm GMT,2st Year Undergraduate,Female,"STEM (Science, Technology, Engineering, Math)",Sometimes (A few times a month),"Generative AI for text (e.g. ChatGPT, Bard);Generative AI for images/art (e.g. DALL-E, Midjourney);Grammar/Writing assistance tools (e.g. Grammarly Premium, QuillBot);Code generation/completion tools (e.g. GitHub Copilot)",Brainstorming ideas;Outlining essays/reports;Proofreading and grammar checking;Generating code snippets;Data analysis,3,Moderately,Always,"Yes, somewhat"
2025/10/30 6:19:38 pm GMT,3st Year Undergraduate,Male,"STEM (Science, Technology, Engineering, Math)",Sometimes (A few times a month),"Generative AI for text (e.g. ChatGPT, Bard);Grammar/Writing assistance tools (e.g. Grammarly Premium, QuillBot);Translation tools (e.g., DeepL, Google Translate);Code generation/completion tools (e.g. GitHub Copilot);Data analysis/visualization tools (e.g., Tableau AI features, Python libraries)",Brainstorming ideas;Outlining essays/reports;Summarizing texts;Proofreading and grammar checking;Generating code snippets;Data analysis;Finding sources/research assistance,4,Moderately,Often,"Yes, somewhat"
2025/10/30 6:24:34 pm GMT,3st Year Undergraduate,Male,"STEM (Science, Technology, Engineering, Math)",Never,"Generative AI for text (e.g. ChatGPT, Bard);Code generation/completion tools (e.g. GitHub Copilot)",Generating code snippets,1,Not at all,Often,"No, not really"
